cor,vazao,pressao,altura,distancia_pontas,angulo_real,cv,vazao_real
Marrom,1.8925,2,50,70,94.53,15.35467517,1.57
,,,,,,,
Vermelha,1.514,4,50,70,103.46,17.92020156,1.81
Vermelha,1.514,4,50,70,103.96,18.3365784,1.81
Vermelha,1.514,4,50,70,104.12,15.61599449,1.82
,,,,,,,
Vermelha,1.514,3,50,70,100.11,19.32416176,1.55
Vermelha,1.514,3,50,70,100.53,18.48340667,1.55
Vermelha,1.514,3,50,70,100.53,18.63470696,1.56
,,,,,,,
Vermelha,1.514,2,50,70,94.44,21.26624701,1.28
Vermelha,1.514,2,50,70,94.96,22.92785514,1.27
Vermelha,1.514,2,50,70,94.62,22.39170916,1.27
,,,,,,,
Azul,1.1355,4,50,70,103.45,29.31070947,1.35
Azul,1.1355,4,50,70,103.86,15.66150514,1.35
Azul,1.1355,4,50,70,103.93,14.64530377,1.35
,,,,,,,
Azul,1.1355,3,50,70,100.26,15.50721888,1.18
Azul,1.1355,3,50,70,100.46,15.4669583,1.17
Azul,1.1355,3,50,70,100.13,14.59873432,1.17
,,,,,,,
Azul,1.1355,2,50,70,94.13,18.19520892,0.97
Azul,1.1355,2,50,70,94.39,19.89795696,0.97
Azul,1.1355,2,50,70,95.15,18.67602439,0.98
,,,,,,,
Amarela,0.757,4,50,70,103.43,17.04389624,0.91
Amarela,0.757,4,50,70,103.52,16.88641007,0.91
Amarela,0.757,4,50,70,104.32,17.11982099,0.9
,,,,,,,
Amarela,0.757,3,50,70,99.23,19.24145619,0.78
Amarela,0.757,3,50,70,100.26,18.55735365,0.78
Amarela,0.757,3,50,70,100.69,18.854077,0.78
,,,,,,,
Amarela,0.757,2,50,70,95.77,29.36947371,0.64
Amarela,0.757,2,50,70,95.55,25.20908857,0.64
Amarela,0.757,2,50,70,95.47,26.44328571,0.64
,,,,,,,
Verde,0.56775,4,50,70,89.63,32.66519794,0.68
Verde,0.56775,4,50,70,89.91,21.4105471,0.69
Verde,0.56775,4,50,70,89.7,21.79555457,0.68
,,,,,,,
Verde,0.56775,3,50,70,83.73,26.78914703,0.58
Verde,0.56775,3,50,70,83.33,25.60594894,0.58
Verde,0.56775,3,50,70,83.23,27.22031347,0.58
,,,,,,,
Verde,0.56775,2,50,70,75.8,41.15508594,0.48
Verde,0.56775,2,50,70,74.81,37.58310143,0.48
Verde,0.56775,2,50,70,75.92,37.75987182,0.48
,,,,,,,
Marrom,1.8925,4,30,50,105.46,20.73797692,2.15
Marrom,1.8925,4,30,50,105.37,20.6533863,2.14
Marrom,1.8925,4,30,50,105.71,19.96420523,2.15
,,,,,,,
Marrom,1.8925,3,30,50,100.63,19.36673223,1.94
Marrom,1.8925,3,30,50,100.14,19.5084581,1.93
Marrom,1.8925,3,30,50,100.79,19.35146308,1.94
,,,,,,,
Marrom,1.8925,2,30,50,95.47,22.7329611,1.58
